ETORO_COUNTRYID,ISO_COUNTRYID,ISO_CODE
1,4,AF
2,8,AL
3,12,DZ
4,16,AS
5,20,AD
6,24,AO
7,999,ZZ
8,28,AG
9,32,AR
10,51,AM
11,533,AW
12,36,AU
13,40,AT
14,999,ZZ
15,48,BH
16,999,ZZ
17,999,ZZ
18,999,ZZ
19,56,BE
20,84,BZ
21,999,ZZ
22,999,ZZ
23,999,ZZ
24,68,BO
25,70,BA
26,999,ZZ
27,999,ZZ
28,76,BR
29,999,ZZ
30,999,ZZ
31,999,ZZ
32,100,BG
33,999,ZZ
34,999,ZZ
35,384,CI
36,999,ZZ
37,120,CM
38,124,CA
39,999,ZZ
40,999,ZZ
41,999,ZZ
42,999,ZZ
43,152,CL
44,156,CN
45,999,ZZ
46,999,ZZ
47,170,CO
48,999,ZZ
49,999,ZZ
50,999,ZZ
51,188,CR
52,191,HR
53,999,ZZ
54,196,CY
55,203,CZ
56,180,CD
57,208,DK
58,999,ZZ
59,212,DM
60,214,DO
61,999,ZZ
62,218,EC
63,818,EG
64,222,SV
65,999,ZZ
66,999,ZZ
67,233,EE
68,999,ZZ
69,999,ZZ
70,999,ZZ
71,999,ZZ
72,246,FI
73,807,MK
74,250,FR
75,999,ZZ
76,999,ZZ
77,999,ZZ
78,268,GE
79,276,DE
80,288,GH
81,999,ZZ
82,300,GR
83,999,ZZ
84,999,ZZ
85,999,ZZ
86,999,ZZ
87,999,ZZ
88,999,ZZ
89,999,ZZ
90,999,ZZ
91,999,ZZ
92,999,ZZ
93,344,HK
94,348,HU
95,352,IS
96,356,IN
97,360,ID
98,364,IR
99,368,IQ
100,372,IE
101,376,IL
102,380,IT
103,388,JM
104,999,ZZ
105,400,JO
106,398,KZ
107,404,KE
108,999,ZZ
109,414,KW
110,999,ZZ
111,999,ZZ
112,428,LV
113,422,LB
114,999,ZZ
115,999,ZZ
116,434,LY
117,999,ZZ
118,440,LT
119,442,LU
120,999,ZZ
121,999,ZZ
122,454,MW
123,458,MY
124,999,ZZ
125,999,ZZ
126,470,MT
127,999,ZZ
128,999,ZZ
129,999,ZZ
130,480,MU
131,999,ZZ
132,484,MX
133,999,ZZ
134,999,ZZ
135,999,ZZ
136,999,ZZ
137,999,ZZ
138,504,MA
139,999,ZZ
140,999,ZZ
141,999,ZZ
142,999,ZZ
143,528,NL
144,999,ZZ
145,999,ZZ
146,554,NZ
147,999,ZZ
148,999,ZZ
149,566,NG
150,999,ZZ
151,999,ZZ
152,999,ZZ
153,999,ZZ
154,578,NO
155,999,ZZ
156,586,PK
157,999,ZZ
158,999,ZZ
159,999,ZZ
160,999,ZZ
161,604,PE
162,608,PH
163,999,ZZ
164,616,PL
165,620,PT
166,999,ZZ
167,634,QA
168,642,RO
169,643,RU
170,999,ZZ
171,670,VC
172,999,ZZ
173,999,ZZ
174,999,ZZ
175,999,ZZ
176,999,ZZ
177,999,ZZ
178,999,ZZ
179,682,SA
180,686,SN
181,999,ZZ
182,999,ZZ
183,702,SG
184,703,SK
185,705,SI
186,999,ZZ
187,999,ZZ
188,710,ZA
189,999,ZZ
190,999,ZZ
191,724,ES
192,144,LK
193,729,SD
194,999,ZZ
195,999,ZZ
196,752,SE
197,756,CH
198,760,SY
199,158,TW
200,999,ZZ
201,999,ZZ
202,764,TH
203,999,ZZ
204,999,ZZ
205,999,ZZ
206,999,ZZ
207,999,ZZ
208,999,ZZ
209,788,TN
210,792,TR
211,999,ZZ
212,999,ZZ
213,999,ZZ
214,850,VI
215,999,ZZ
216,804,UA
217,784,AE
218,826,GB
219,840,US
220,999,ZZ
221,858,UY
222,999,ZZ
223,999,ZZ
224,999,ZZ
225,999,ZZ
226,704,VN
227,999,ZZ
228,999,ZZ
229,887,YE
230,894,ZM
231,999,ZZ
232,999,ZZ
233,999,ZZ
234,999,ZZ
235,999,ZZ
236,999,ZZ
237,688,RS
238,499,ME
239,999,ZZ
240,999,ZZ
241,254,GF
242,831,GG
243,999,ZZ
244,999,ZZ
245,999,ZZ
246,999,ZZ
247,999,ZZ
248,999,ZZ
249,999,ZZ
250,999,ZZ
